date;TestRealise;CasPositif
02/03/2020;2;1
03/03/2020;0;0
04/03/2020;0;2
05/03/2020;0;0
06/03/2020;2;0
07/03/2020;2;0
08/03/2020;0;0
09/03/2020;0;0
10/03/2020;0;0
11/03/2020;0;1
12/03/2020;0;0
13/03/2020;0;11
14/03/2020;0;3
15/03/2020;0;2
16/03/2020;9;1
17/03/2020;44;4
18/03/2020;27;5
19/03/2020;22;2
20/03/2020;56;9
21/03/2020;31;9
22/03/2020;85;11
23/03/2020;68;12
24/03/2020;59;7
25/03/2020;142;13
26/03/2020;130;6
27/03/2020;144;14
28/03/2020;98;11
29/03/2020;151;12
30/03/2020;87;20
31/03/2020;97;13
01/04/2020;195;15
02/04/2020;127;5
03/04/2020;153;12
04/04/2020;172;12
05/04/2020;92;5
06/04/2020;95;4
07/04/2020;110;11
08/04/2020;108;7
09/04/2020;199;6
10/04/2020;195;15
11/04/2020;173;13
12/04/2020;104;2
13/04/2020;144;11
14/04/2020;272;8
15/04/2020;227;15
16/04/2020;435;21
17/04/2020;287;7
18/04/2020;226;8
19/04/2020;313;17
20/04/2020;281;10
21/04/2020;466;35
22/04/2020;482;30
23/04/2020;387;37
24/04/2020;528;66
25/04/2020;703;69
26/04/2020;579;57
27/04/2020;677;64
28/04/2020;873;87
29/04/2020;800;59
30/04/2020;1161;51
01/05/2020;901;91
02/05/2020;1190;91
03/05/2020;810;67
04/05/2020;807;89
05/05/2020;702;58
06/05/2020;1182;104
07/05/2020;1027;59
08/05/2020;872;59
09/05/2020;848;83
10/05/2020;1356;75
11/05/2020;917;177
12/05/2020;1090;109
13/05/2020;920;110
14/05/2020;992;84
15/05/2020;1128;121
16/05/2020;989;108
17/05/2020;816;51
18/05/2020;1172;64
19/05/2020;903;73
20/05/2020;1042;97
21/05/2020;1215;98
22/05/2020;1199;97
23/05/2020;934;67
24/05/2020;889;71
25/05/2020;1091;83
26/05/2020;551;31
27/05/2020;961;92
28/05/2020;991;95
29/05/2020;1236;81
30/05/2020;1370;106
31/05/2020;1024;110
01/06/2020;1820;94
02/06/2020;1339;97
03/06/2020;1549;96
04/06/2020;1348;89
05/06/2020;1700;134
06/06/2020;1166;94
07/06/2020;1266;79
08/06/2020;1010;89
09/06/2020;1402;89
10/06/2020;1205;124
11/06/2020;1164;119
12/06/2020;1005;92
13/06/2020;1378;145
14/06/2020;1223;94
15/06/2020;1254;83
16/06/2020;999;74
17/06/2020;970;122
18/06/2020;1406;106
19/06/2020;1617;164
20/06/2020;1247;144
21/06/2020;978;105
22/06/2020;1040;82
23/06/2020;1045;64
24/06/2020;987;95
25/06/2020;985;104
26/06/2020;1057;121
27/06/2020;1009;105
28/06/2020;1179;127
29/06/2020;956;112
30/06/2020;1274;95
01/07/2020;907;132
02/07/2020;1160;129
03/07/2020;1078;110
04/07/2020;959;108
05/07/2020;756;128
06/07/2020;838;78
